sg_uf;nm_municipio;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;aa_eleicao;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
RJ;PETRÓPOLIS;11;Prefeito;40;RONALDO CARLOS DE MEDEIROS JUNIOR;RONALDO MEDEIROS;PSB;PSB;2;Não Eleito;2008-10-26 19:11:02;58777;6843;#NE;14434;2008;0,349;59065;169219
RJ;RIO DE JANEIRO;11;Prefeito;15;EDUARDO DA COSTA PAES;EDUARDO PAES;PMDB;PMDB;2;Eleito;2008-10-26 20:26:24;60011;395;#NE;14434;2008;0,5083;1696195;3337165
RJ;RIO DE JANEIRO;11;Prefeito;43;FERNANDO PAULO NAGLE GABEIRA;GABEIRA;PV;PV;2;Não Eleito;2008-10-26 20:26:24;60011;1393;#NE;14434;2008;0,4917;1640970;3337165
RS;CANOAS;11;Prefeito;13;JAIRO JORGE DA SILVA;JAIRO JORGE;PT;PT;2;Eleito;2008-10-26 18:57:23;85898;7023;#NE;14434;2008;0,5263;98736;187587
RS;CANOAS;11;Prefeito;14;JURANDIR MARQUES MACIEL;JURANDIR MACIEL;PTB;PTB;2;Não Eleito;2008-10-26 18:57:23;85898;4660;#NE;14434;2008;0,4737;88851;187587
RS;PELOTAS;11;Prefeito;11;ADOLFO ANTONIO FETTER JUNIOR;FETTER;PP;PP;2;Eleito;2008-10-26 19:36:50;87912;12236;#NE;14434;2008;0,5672;109011;192204
RS;PELOTAS;11;Prefeito;13;FERNANDO STEPHAN MARRONI;MARRONI;PT;PT;2;Não Eleito;2008-10-26 19:36:50;87912;21771;#NE;14434;2008;0,4328;83193;192204
RS;PORTO ALEGRE;11;Prefeito;15;JOSÉ ALBERTO FOGAÇA DE MEDEIROS;JOSÉ FOGAÇA;PMDB;PMDB;2;Eleito;2008-10-26 20:14:04;88013;16741;#NE;14434;2008;0,5895;470696;798495
RS;PORTO ALEGRE;11;Prefeito;13;MARIA DO ROSARIO NUNES;MARIA DO ROSÁRIO;PT;PT;2;Não Eleito;2008-10-26 20:14:04;88013;1568;#NE;14434;2008;0,4105;327799;798495
SC;FLORIANÓPOLIS;11;Prefeito;15;DÁRIO ELIAS BERGER;DÁRIO;PMDB;PMDB;2;Eleito;2008-10-26 18:51:04;81051;13964;#NE;14434;2008;0,5768;129969;225338
SC;FLORIANÓPOLIS;11;Prefeito;11;ESPERIDIÃO AMIN HELOU FILHO;ESPERIDIÃO AMIN;PP;PP;2;Não Eleito;2008-10-26 18:51:04;81051;13065;#NE;14434;2008;0,4232;95369;225338
SC;JOINVILLE;11;Prefeito;13;CARLITO MERSS;CARLITO;PT;PT;2;Eleito;2008-10-26 18:59:04;81795;15485;#NE;14434;2008;0,6215;170955;275090
SC;JOINVILLE;11;Prefeito;25;DARCI DE MATOS;DARCI DE MATOS;DEM;DEM;2;Não Eleito;2008-10-26 18:59:04;81795;15367;#NE;14434;2008;0,3785;104135;275090
SP;BAURU;11;Prefeito;15;RODRIGO ANTONIO DE AGOSTINHO MENDONÇA;RODRIGO AGOSTINHO;PMDB;PMDB;2;Eleito;2008-10-26 18:49:01;62197;2731;#NE;14434;2008;0,543;97288;179184
SP;BAURU;11;Prefeito;45;CAIO MARCIO VIOTTO COUBE;CAIO COUBE;PSDB;PSDB;2;Não Eleito;2008-10-26 18:49:01;62197;1963;#NE;14434;2008;0,457;81896;179184
SP;GUARULHOS;11;Prefeito;13;SEBASTIAO ALVES DE ALMEIDA;ALMEIDA;PT;PT;2;Eleito;2008-10-26 20:29:02;64777;29865;#NE;14434;2008;0,5668;320472;565394
SP;GUARULHOS;11;Prefeito;45;CARLOS ROBERTO DE CAMPOS;CARLOS ROBERTO;PSDB;PSDB;2;Não Eleito;2008-10-26 20:29:02;64777;32346;#NE;14434;2008;0,4332;244922;565394
SP;MAUÁ;11;Prefeito;13;OSWALDO DIAS;OSWALDO DIAS;PT;PT;2;Eleito;2008-10-26 23:07:18;66893;13227;#NE;14434;2008;0,5568;117337;210719
SP;MAUÁ;11;Prefeito;40;FRANCISCO ESMERALDO FELIPE CARNEIRO;CHIQUINHO DO ZAIRA;PSB;PSB;2;Não Eleito;2008-10-26 23:07:18;66893;13924;#NE;14434;2008;0,4432;93382;210719
SP;SANTO ANDRÉ;11;Prefeito;14;AIDAN ANTONIO RAVIN;DR, AIDAN;PTB;PTB;2;Eleito;2008-10-26 19:59:02;70572;18667;#NE;14434;2008;0,5503;214810;390323
SP;SANTO ANDRÉ;11;Prefeito;13;VANDERLEI SIRAQUE;VANDERLEI SIRAQUE;PT;PT;2;Não Eleito;2008-10-26 19:59:02;70572;841;#NE;14434;2008;0,4497;175513;390323
SP;SÃO BERNARDO DO CAMPO;11;Prefeito;13;LUIZ MARINHO;LUIZ MARINHO;PT;PT;2;Eleito;2008-10-26 21:31:25;70750;46884;#NE;14434;2008;0,5819;237617;408345
SP;SÃO BERNARDO DO CAMPO;11;Prefeito;45;ORLANDO MORANDO JUNIOR;ORLANDO MORANDO;PSDB;PSDB;2;Não Eleito;2008-10-26 21:31:25;70750;56367;#NE;14434;2008;0,4181;170728;408345
SP;SÃO JOSÉ DO RIO PRETO;11;Prefeito;40;VALDOMIRO LOPES DA SILVA JUNIOR;VALDOMIRO LOPES;PSB;PSB;2;Eleito;2008-10-26 19:19:04;70971;8914;#NE;14434;2008;0,5121;109145;213112
SP;SÃO JOSÉ DO RIO PRETO;11;Prefeito;13;JOAO PAULO RILLO;JOAO PAULO RILLO;PT;PT;2;Não Eleito;2008-10-26 19:19:04;70971;7106;#NE;14434;2008;0,4879;103967;213112
SP;SÃO PAULO;11;Prefeito;25;GILBERTO KASSAB;GILBERTO KASSAB;DEM;DEM;2;Eleito;2008-10-26 20:51:03;71072;608;#NE;14434;2008;0,6072;3790558;6243085
SP;SÃO PAULO;11;Prefeito;13;MARTA TERESA SUPLICY;MARTA;PT;PT;2;Não Eleito;2008-10-26 20:51:03;71072;1197;#NE;14434;2008;0,3928;2452527;6243085
